Table S1: Unique studies reported in EWAS Atlas 
Stage,Platform,Sample size,Male(%),Age(min),Age(max),Age(mean),Age(sd),Tissue,Cohort name,Full name,Description,Ancestry,Tissue
Initial,27K,10,0.4,null,null,29.7,29.7,alveolar macrophage,,,never smokers,Not reported,alveolar macrophage
Initial,27K,10,1,26,71,50,null,epidermis,,,,Not reported,epidermis
Initial,27K,1006,0,35,76,null,null,whole blood,,Sister Study,Sister Study,Not reported,whole blood
Initial,27K,108,0.52,0,84,19,null,prefrontal cortex,,,Cerebrotendinous xanthomatosis,Not reported,prefrontal cortex
Initial,27K,109,0.39,15,15,15,0,buccal epithelium,,,,Not reported,buccal epithelium
Initial,27K,11,0.45,null,null,58,15,whole blood,,,symptomatic HDM,Not reported,whole blood
Initial,27K,11,1,null,null,57.2,15.2,pancreatic islet,,,control,European,pancreatic islet
Initial,27K,113,0,50,84,null,null,whole blood,UKOPS,United Kingdom Ovarian Cancer Population Study,Ovarian cancer before treatment,Not reported,whole blood
Initial,27K,113,0,null,null,null,null,whole blood,,,pre-treatment ovarian cancer cases,Not reported,whole blood
Initial,27K,114,0.7,16,96,44,null,cerebellum,,,,Not reported,cerebellum
Initial,27K,12,0.58,null,null,39.3,3.81,alveolar macrophage,,,heavy smokers,African American or Afro-Caribbean;Not reported,alveolar macrophage
Initial,27K,123,0.5,8,78,43,17.2,tumor tissue,ENS@T,European Network for the Study of Adrenal Tumors,24 metastatic,European,tumor tissue
Initial,27K,125,0.7,15,100,43,null,caudal pons,,,,Not reported,caudal pons
Initial,27K,127,0.67,15,100,44,null,frontal cortex,,,,Not reported,frontal cortex
Initial,27K,131,0.99,21,55,29,null,saliva,,,,Not reported,saliva
Initial,27K,132,0,33,82,60,12,whole blood,,,Batch 1,European,whole blood
Initial,27K,133,0.68,16,100,43,null,frontal cortex,,,,Not reported,frontal cortex
Initial,27K,14,0,6,73,20,null,dermal fibroblast,,,,Not reported,dermal fibroblast
Initial,27K,146,0,28,91,63.3,12.8,leukocyte,,,case,European,leukocyte
Initial,27K,148,0,52,78,null,null,whole blood,UKOPS,United Kingdom Ovarian Cancer Population Study,Healthy women,Not reported,whole blood
Initial,27K,148,0,null,null,null,null,whole blood,,,healthy,Not reported,whole blood
Initial,27K,149,0.52,18,30,21,null,leukocyte,PAPA,Poblogaeth Asthma Prifysgol Abertawe,,European,leukocyte
Initial,27K,15,0.47,null,null,38.1,11.05,whole blood,,,healthy controls,Not reported,whole blood
Initial,27K,153,0,null,null,63,11.1,leukocyte,,,,European,leukocyte
